Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,"Road, Street, or Sidewalk",5100-5199,PO BOX 803,-
Aggravated Assault,Bar or Night Club Parking Lot,6500-6599,PEERLESS,-
AutoTheft,Vehicle/Auto Sales/Lease/Auto Parts Store,2400-2499,BLODGETT,ST
AutoTheft,"Road, Street, or Sidewalk",2300-2399,BLODGETT ST,ST
Theft,Apartment,2800-2899,BLODGETT ST,ST
Theft,Apartment,1100-1199,KINGWOOD,DR
Theft,Driveway,2600-2699,ROSEDALE,-
Burglary,Residence or House,3600-3699,GRIGGS RD,RD
Burglary,Commercial Building,4000-4099,GRIGGS,RD
Theft,Residence or House,2600-2699,RIVERSIDE DR,-
Burglary,Residence or House,4800-4899,CANFIELD,-
Burglary,Restaurant or Cafeteria,3900-3999,OLD SPANISH,TRL
Theft,"Road, Street, or Sidewalk",19600-19699,ADELAIDE MEADOWS,CT
Theft,"Road, Street, or Sidewalk",20300-20399,FRIESIAN TRAIL,-
Theft,Residence or House,4600-4699,UNIVERSITY OAKS BLVD,BLVD
Robbery,"Road, Street, or Sidewalk",3600-3699,SOUTHMORE,BLVD
Theft,Commercial Parking Lot or Garage,5000-5099,HULL STREET,-
Aggravated Assault,Residence or House,4000-4099,GRIGGS RD,RD
AutoTheft,"Parks and Recreation, Zoo, Swimming Pool",2600-2699,S CALUMET ST,ST
Burglary,Apartment,5900-5999,ARDMORE,ST
Theft,Construction Site,3800-3899,MACGREGOR,WAY
Aggravated Assault,"Road, Street, or Sidewalk",9900-9999,TOWN PARK,DR
Theft,Residence or House,3200-3299,OAKMONT,-
Burglary,Residence or House,3500-3599,N MACGREGOR WAY,-
Theft,Service or Gas Station,10300-10399,LANDS END DR APT 2907,-
Burglary,Residence or House,3700-3799,GRIGGS RD,RD
Theft,Bank,4000-4099,GRIGGS RD,RD
Theft,"Other, Unknown, or Not Listed",3800-3899,GERTIN,-
Theft,Apartment Parking Lot,2500-2599,OAKDALE,-
Theft,Driveway,3300-3399,BLODGETT ST,ST
Theft,Apartment Parking Lot,4400-4499,N MACGREGOR WAY,-
Theft,Bar or Night Club Parking Lot,2400-2499,WENTWORTH ST,ST
Burglary,Apartment,UNK,HERMANN MUSEUM,CIR
Rape,Residence or House,UNK,UNKNOWN,-
Rape,Residence or House,12100-12199,DONEGAL,WAY
Robbery,Bank,5100-5199,CLOVER,-
Aggravated Assault,"Parks and Recreation, Zoo, Swimming Pool",3300-3399,BANDELL,DR
